#species: Scientific name.
#SVR: Average per-intron alternative splicing rate among BUSCO major introns (%).
#Bioproject: Bioproject.
#couverture: Median per-base read coverage across BUSCO genes.
#nbIntron: Number of introns studied.
#list_rnaseq: SRA Accession of the RNA-seq samples studied.
#organs: Organs studied.
species	SVR	Bioproject	couverture	nbIntron	list_rnaseq	organs
Oryctolagus_cuniculus	1.84611223530628	Ovary PRJEB26840	1262	7145	ERR2587664;ERR2587665;ERR2587595;ERR2587618;ERR2587619;ERR2587641;ERR2587545;ERR2587546;ERR2587568;ERR2587569;ERR2587494;ERR2587495;ERR2587517;ERR2587518;ERR2587438;ERR2587439;ERR2587466;ERR2587467;ERR2587368;ERR2587369;ERR2587383;ERR2587384;ERR2587411;ERR2587412;ERR2587353;ERR2587354	Ovary
Oryctolagus_cuniculus	1.8595652041387	Testis PRJEB26840	1309	7155	ERR2587666;ERR2587685;ERR2587686;ERR2587596;ERR2587597;ERR2587620;ERR2587621;ERR2587642;ERR2587643;ERR2587547;ERR2587548;ERR2587570;ERR2587571;ERR2587496;ERR2587497;ERR2587519;ERR2587520;ERR2587440;ERR2587441;ERR2587468;ERR2587469;ERR2587355;ERR2587356;ERR2587370;ERR2587371;ERR2587385;ERR2587386;ERR2587413;ERR2587414	Testis
Oryctolagus_cuniculus	2.02610219312359	Brain PRJEB26840	2235	7101	ERR2587667;ERR2587668;ERR2587669;ERR2587670;ERR2587598;ERR2587599;ERR2587600;ERR2587601;ERR2587622;ERR2587623;ERR2587624;ERR2587625;ERR2587644;ERR2587645;ERR2587646;ERR2587647;ERR2587552;ERR2587553;ERR2587575;ERR2587576;ERR2587577;ERR2587578;ERR2587475;ERR2587476;ERR2587477;ERR2587498;ERR2587499;ERR2587500;ERR2587501;ERR2587525;ERR2587526;ERR2587527;ERR2587528;ERR2587418;ERR2587419;ERR2587420;ERR2587421;ERR2587446;ERR2587447;ERR2587448;ERR2587449;ERR2587474;ERR2587391;ERR2587392;ERR2587393;ERR2587394	Brain
Oryctolagus_cuniculus	1.87270080819334	Heart PRJEB26840	2065	7117	ERR2587671;ERR2587672;ERR2587602;ERR2587603;ERR2587604;ERR2587605;ERR2587626;ERR2587627;ERR2587628;ERR2587629;ERR2587648;ERR2587649;ERR2587650;ERR2587651;ERR2587554;ERR2587555;ERR2587556;ERR2587557;ERR2587579;ERR2587580;ERR2587581;ERR2587582;ERR2587478;ERR2587479;ERR2587480;ERR2587481;ERR2587502;ERR2587503;ERR2587504;ERR2587505;ERR2587529;ERR2587530;ERR2587531;ERR2587532;ERR2587422;ERR2587423;ERR2587424;ERR2587425;ERR2587450;ERR2587451;ERR2587452;ERR2587453;ERR2587361;ERR2587362;ERR2587363;ERR2587376;ERR2587377;ERR2587378;ERR2587395;ERR2587396;ERR2587397;ERR2587398;ERR2587349;ERR2587350;ERR2587351;ERR2587352	Heart
Oryctolagus_cuniculus	2.00343401456134	WholeBrain PRJEB26840	1931	7087	ERR2587549;ERR2587550;ERR2587551;ERR2587572;ERR2587573;ERR2587574;ERR2587521;ERR2587522;ERR2587523;ERR2587524;ERR2587415;ERR2587416;ERR2587417;ERR2587442;ERR2587443;ERR2587444;ERR2587445;ERR2587470;ERR2587471;ERR2587472;ERR2587473;ERR2587357;ERR2587358;ERR2587359;ERR2587360;ERR2587372;ERR2587373;ERR2587374;ERR2587375;ERR2587387;ERR2587388;ERR2587389;ERR2587390	WholeBrain
Rattus_norvegicus	2.01828852309353	Brain PRJEB26889	2967	7303	ERR2592659;ERR2592663;ERR2592667;ERR2592671;ERR2592683;ERR2592687;ERR2592691;ERR2592695;ERR2592600;ERR2592606;ERR2592612;ERR2592615;ERR2592618;ERR2592621;ERR2592635;ERR2592638;ERR2592641;ERR2592644;ERR2592539;ERR2592541;ERR2592547;ERR2592548;ERR2592563;ERR2592568;ERR2592572;ERR2592575;ERR2592588;ERR2592594;ERR2592486;ERR2592488;ERR2592506;ERR2592507;ERR2592513;ERR2592514;ERR2592515;ERR2592517;ERR2592519;ERR2592521;ERR2592425;ERR2592427;ERR2592429;ERR2592432;ERR2592454;ERR2592456;ERR2592458;ERR2592460;ERR2592469;ERR2592471;ERR2592474;ERR2592476;ERR2592361;ERR2592365;ERR2592369;ERR2592373;ERR2592379;ERR2592383;ERR2592401;ERR2592404;ERR2592406;ERR2592345;ERR2592347;ERR2592349;ERR2592351;ERR2592353;ERR2592355	Brain
Rattus_norvegicus	2.06383289994979	Cerebellum PRJEB26889	2256	7293	ERR2592660;ERR2592664;ERR2592668;ERR2592672;ERR2592684;ERR2592688;ERR2592692;ERR2592696;ERR2592601;ERR2592607;ERR2592613;ERR2592616;ERR2592619;ERR2592622;ERR2592636;ERR2592639;ERR2592642;ERR2592645;ERR2592540;ERR2592542;ERR2592549;ERR2592557;ERR2592564;ERR2592569;ERR2592573;ERR2592576;ERR2592587;ERR2592589;ERR2592595;ERR2592487;ERR2592489;ERR2592505;ERR2592508;ERR2592516;ERR2592518;ERR2592520;ERR2592522;ERR2592426;ERR2592428;ERR2592430;ERR2592433;ERR2592455;ERR2592457;ERR2592459;ERR2592461;ERR2592470;ERR2592472;ERR2592475;ERR2592477;ERR2592402;ERR2592403;ERR2592405;ERR2592407	Cerebellum
Rattus_norvegicus	1.6536436054342	Liver PRJEB26889	2579	7347	ERR2592661;ERR2592665;ERR2592670;ERR2592674;ERR2592686;ERR2592690;ERR2592694;ERR2592698;ERR2592603;ERR2592609;ERR2592624;ERR2592625;ERR2592626;ERR2592627;ERR2592647;ERR2592648;ERR2592649;ERR2592657;ERR2592550;ERR2592551;ERR2592558;ERR2592560;ERR2592577;ERR2592578;ERR2592579;ERR2592586;ERR2592592;ERR2592598;ERR2592492;ERR2592493;ERR2592494;ERR2592495;ERR2592535;ERR2592536;ERR2592537;ERR2592538;ERR2592437;ERR2592438;ERR2592439;ERR2592453;ERR2592464;ERR2592465;ERR2592466;ERR2592467;ERR2592359;ERR2592364;ERR2592368;ERR2592371;ERR2592375;ERR2592380;ERR2592381;ERR2592387;ERR2592391;ERR2592395;ERR2592399;ERR2592409;ERR2592410;ERR2592411;ERR2592412;ERR2592357	Liver
Rattus_norvegicus	1.93925698374483	Testis PRJEB26889	1517	7355	ERR2592662;ERR2592666;ERR2592693;ERR2592697;ERR2592599;ERR2592605;ERR2592620;ERR2592623;ERR2592643;ERR2592646;ERR2592544;ERR2592561;ERR2592567;ERR2592574;ERR2592491;ERR2592502;ERR2592523;ERR2592529;ERR2592419;ERR2592435;ERR2592445;ERR2592463;ERR2592468;ERR2592376;ERR2592382;ERR2592396;ERR2592400;ERR2592408;ERR2592354;ERR2592356	Testis
Rattus_norvegicus	1.74660866634955	Ovary PRJEB26889	1342	7341	ERR2592669;ERR2592673;ERR2592685;ERR2592689;ERR2592611;ERR2592614;ERR2592617;ERR2592637;ERR2592640;ERR2592543;ERR2592556;ERR2592570;ERR2592571;ERR2592593;ERR2592497;ERR2592509;ERR2592527;ERR2592534;ERR2592422;ERR2592436;ERR2592452;ERR2592473;ERR2592478;ERR2592362;ERR2592366;ERR2592372;ERR2592378;ERR2592388;ERR2592392	Ovary
Rattus_norvegicus	1.74434803661056	Heart PRJEB26889	2266	7321	ERR2592675;ERR2592677;ERR2592679;ERR2592681;ERR2592699;ERR2592700;ERR2592702;ERR2592704;ERR2592602;ERR2592608;ERR2592628;ERR2592631;ERR2592633;ERR2592650;ERR2592651;ERR2592654;ERR2592658;ERR2592545;ERR2592546;ERR2592555;ERR2592559;ERR2592565;ERR2592580;ERR2592582;ERR2592584;ERR2592590;ERR2592596;ERR2592479;ERR2592480;ERR2592482;ERR2592484;ERR2592496;ERR2592498;ERR2592500;ERR2592504;ERR2592510;ERR2592511;ERR2592524;ERR2592525;ERR2592526;ERR2592530;ERR2592421;ERR2592441;ERR2592443;ERR2592447;ERR2592450;ERR2592360;ERR2592363;ERR2592367;ERR2592370;ERR2592374;ERR2592377;ERR2592384;ERR2592386;ERR2592390;ERR2592394;ERR2592398;ERR2592414;ERR2592416;ERR2592418;ERR2592346;ERR2592348;ERR2592350;ERR2592352;ERR2592358	Heart
Rattus_norvegicus	1.65697193513878	Kidney PRJEB26889	2291	7366	ERR2592676;ERR2592678;ERR2592680;ERR2592682;ERR2592701;ERR2592703;ERR2592705;ERR2592706;ERR2592604;ERR2592610;ERR2592629;ERR2592630;ERR2592632;ERR2592634;ERR2592652;ERR2592653;ERR2592655;ERR2592656;ERR2592552;ERR2592553;ERR2592554;ERR2592562;ERR2592566;ERR2592581;ERR2592583;ERR2592585;ERR2592591;ERR2592597;ERR2592481;ERR2592483;ERR2592485;ERR2592490;ERR2592499;ERR2592501;ERR2592503;ERR2592512;ERR2592528;ERR2592531;ERR2592532;ERR2592533;ERR2592423;ERR2592424;ERR2592431;ERR2592434;ERR2592444;ERR2592448;ERR2592451;ERR2592462	Kidney
Rattus_norvegicus	1.85904662294655	WholeBrain PRJEB26889	646	7244	ERR2592420;ERR2592440;ERR2592442;ERR2592446;ERR2592449;ERR2592385;ERR2592389;ERR2592393;ERR2592397;ERR2592413;ERR2592415;ERR2592417	WholeBrain
Dendroctonus_ponderosae	1.31432011269571	_ovar	551	3772	SRR6279155;SRR6279156;SRR6279153;SRR6279154;SRR6279157	Ovary
Dendroctonus_ponderosae	1.32327948190305	_head	207	3596	SRR6279159;SRR6279160;SRR6279173	Head
Dendroctonus_ponderosae	1.32795571078868	_test	277	3773	SRR6279151;SRR6279152;SRR6279172;SRR6279171;SRR6279158	Testis
