#species: Scientific name.
#SVR: Average per-intron alternative splicing rate among BUSCO major introns (%).
#Bioproject: Bioproject.
#couverture: Median per-base read coverage across BUSCO genes.
#nbIntron: Number of introns studied.
#list_rnaseq: SRA Accession of the RNA-seq samples studied.
#organs: Organs studied.
species	SVR	Bioproject	couverture	nbIntron	list_rnaseq	organs
Homo_sapiens	2.88192261540549	Heart PRJEB26969	1255	7665	ERR2598338;ERR2598339;ERR2598351;ERR2598289;ERR2598290;ERR2598291;ERR2598292;ERR2598307;ERR2598315;ERR2598316;ERR2598317;ERR2598230;ERR2598231;ERR2598232;ERR2598233;ERR2598234;ERR2598253;ERR2598254;ERR2598255;ERR2598270;ERR2598167;ERR2598168;ERR2598182;ERR2598183;ERR2598193;ERR2598194;ERR2598209;ERR2598210;ERR2598211;ERR2598105;ERR2598106;ERR2598107;ERR2598108;ERR2598122;ERR2598123;ERR2598124;ERR2598138;ERR2598153;ERR2598154;ERR2598155;ERR2598052;ERR2598053;ERR2598054;ERR2598055;ERR2598073;ERR2598074;ERR2598075;ERR2598076;ERR2598090;ERR2598091	Heart
Homo_sapiens	3.48101224913547	Testis PRJEB26969	1583	7705	ERR2598345;ERR2598360;ERR2598361;ERR2598362;ERR2598363;ERR2598286;ERR2598302;ERR2598303;ERR2598304;ERR2598311;ERR2598223;ERR2598224;ERR2598225;ERR2598247;ERR2598248;ERR2598249;ERR2598264;ERR2598265;ERR2598276;ERR2598277;ERR2598278;ERR2598279;ERR2598163;ERR2598179;ERR2598191;ERR2598192;ERR2598204;ERR2598205;ERR2598100;ERR2598101;ERR2598117;ERR2598118;ERR2598119;ERR2598134;ERR2598135;ERR2598136;ERR2598147;ERR2598067;ERR2598068;ERR2598087;ERR2598088	Testis
Homo_sapiens	3.12639952575629	Ovary PRJEB26969	726	7654	ERR2598221;ERR2598222;ERR2598245;ERR2598246;ERR2598263;ERR2598177;ERR2598178;ERR2598190;ERR2598203;ERR2598116;ERR2598133;ERR2598145;ERR2598146;ERR2598065;ERR2598066;ERR2598086;ERR2598098;ERR2598099	Ovary
Homo_sapiens	3.19567346383163	Forebrain PRJEB26969	781	7615	ERR2598226;ERR2598229;ERR2598251;ERR2598164;ERR2598165;ERR2598166;ERR2598180;ERR2598181;ERR2598206;ERR2598207;ERR2598208;ERR2598102;ERR2598103;ERR2598104;ERR2598120;ERR2598121;ERR2598137;ERR2598051;ERR2598069;ERR2598070;ERR2598071;ERR2598072;ERR2598089	Forebrain
Homo_sapiens	3.18728646186493	Hindbrain PRJEB26969	1066	7631	ERR2598235;ERR2598236;ERR2598237;ERR2598238;ERR2598256;ERR2598257;ERR2598169;ERR2598170;ERR2598171;ERR2598184;ERR2598185;ERR2598195;ERR2598196;ERR2598197;ERR2598198;ERR2598212;ERR2598213;ERR2598214;ERR2598109;ERR2598110;ERR2598111;ERR2598125;ERR2598126;ERR2598127;ERR2598056;ERR2598057;ERR2598077;ERR2598079;ERR2598080;ERR2598092;ERR2598093;ERR2598094	Hindbrain
Homo_sapiens	2.00540796581294	KidneyTestis PRJEB26969	18	5704	ERR2598172	KidneyTestis
Macaca_mulatta	2.81531657340477	Brain PRJEB26956	1106	7697	ERR2596949;ERR2596950;ERR2596961;ERR2596969;ERR2596889;ERR2596890;ERR2596903;ERR2596904;ERR2596905;ERR2596912;ERR2596921;ERR2596926;ERR2596927;ERR2596928;ERR2596938;ERR2596939;ERR2596829;ERR2596845;ERR2596846;ERR2596847;ERR2596865;ERR2596866;ERR2596883;ERR2596888;ERR2596796;ERR2596797;ERR2596798;ERR2596799;ERR2596800;ERR2596801;ERR2596827;ERR2596828	Brain
Macaca_mulatta	2.41568027443516	Heart PRJEB26956	747	7711	ERR2596951;ERR2596952;ERR2596962;ERR2596963;ERR2596891;ERR2596892;ERR2596906;ERR2596913;ERR2596914;ERR2596922;ERR2596929;ERR2596930;ERR2596940;ERR2596830;ERR2596831;ERR2596832;ERR2596848;ERR2596849;ERR2596850;ERR2596851;ERR2596867;ERR2596868;ERR2596869;ERR2596870;ERR2596884;ERR2596802;ERR2596803;ERR2596804;ERR2596805;ERR2596806	Heart
Macaca_mulatta	3.057001934589	Cerebellum PRJEB26956	543	7640	ERR2596953;ERR2596964;ERR2596970;ERR2596893;ERR2596931;ERR2596941;ERR2596942;ERR2596833;ERR2596852;ERR2596853;ERR2596871;ERR2596872;ERR2596807;ERR2596808;ERR2596809;ERR2596810	Cerebellum
Macaca_mulatta	2.38404015001936	Kidney PRJEB26956	1125	7748	ERR2596954;ERR2596955;ERR2596965;ERR2596966;ERR2596894;ERR2596895;ERR2596907;ERR2596908;ERR2596915;ERR2596916;ERR2596923;ERR2596932;ERR2596933;ERR2596943;ERR2596944;ERR2596834;ERR2596835;ERR2596836;ERR2596837;ERR2596854;ERR2596855;ERR2596856;ERR2596857;ERR2596873;ERR2596874;ERR2596875;ERR2596885;ERR2596886;ERR2596811;ERR2596812;ERR2596813;ERR2596814;ERR2596815	Kidney
Macaca_mulatta	2.33665547802307	Liver PRJEB26956	669	7742	ERR2596956;ERR2596957;ERR2596958;ERR2596967;ERR2596971;ERR2596896;ERR2596897;ERR2596898;ERR2596909;ERR2596910;ERR2596917;ERR2596918;ERR2596924;ERR2596934;ERR2596935;ERR2596945;ERR2596946;ERR2596838;ERR2596839;ERR2596840;ERR2596841;ERR2596858;ERR2596859;ERR2596860;ERR2596876;ERR2596877;ERR2596878;ERR2596887;ERR2596816;ERR2596817;ERR2596818;ERR2596819;ERR2596820;ERR2596821	Liver
Macaca_mulatta	3.00379493996706	Testis PRJEB26956	1071	7746	ERR2596959;ERR2596960;ERR2596968;ERR2596972;ERR2596900;ERR2596901;ERR2596919;ERR2596920;ERR2596925;ERR2596936;ERR2596937;ERR2596947;ERR2596948;ERR2596842;ERR2596843;ERR2596844;ERR2596861;ERR2596862;ERR2596863;ERR2596864;ERR2596879;ERR2596880;ERR2596881;ERR2596882;ERR2596822;ERR2596823;ERR2596824;ERR2596825;ERR2596826	Testis
Macaca_mulatta	2.45968765657853	Ovary PRJEB26956	113	7406	ERR2596899;ERR2596902;ERR2596911	Ovary
