species	ratio	major_introns.Var1	major_introns.Freq	major_introns_svr	major_introns_busco.Var1	major_introns_busco.Freq	major_introns_busco_svr
Callorhinchus_milii	0.995902838747439	0	0.508912292578603	2.24195855324214	0	0.528641801548206	1.38601487133644
Callorhinchus_milii	0.995902838747439	1	0.206102054789251	1.96823464657602	1	0.227304714989444	1.1350837026227
Callorhinchus_milii	0.995902838747439	2	0.284985652632146	2.1934630927351	2	0.24405348346235	1.46047031376579
Gallus_gallus	0.986098580920444	0	0.51462353957805	2.58206664581611	0	0.545188340210302	1.61503715385203
Gallus_gallus	0.986098580920444	1	0.200331602723077	2.17364377297933	1	0.220151736989219	1.22707696608483
Gallus_gallus	0.986098580920444	2	0.285044857698874	2.44651846616392	2	0.234659922800479	1.47042051466153
Crocodylus_porosus	0.993544287711272	0	0.515236560334926	3.67536420265042	0	0.547084568685585	3.05989140207018
Crocodylus_porosus	0.993544287711272	1	0.20731910636879	3.26903834017058	1	0.218269095016236	2.44949463288776
Crocodylus_porosus	0.993544287711272	2	0.277444333296284	3.57691945943847	2	0.234646336298179	2.93025130666226
Monodelphis_domestica	0.989406455358792	0	0.514388120839734	3.04609762892059	0	0.551126516464471	2.03661000050147
Monodelphis_domestica	0.989406455358792	1	0.196274961597542	2.59080835278911	1	0.215971203839488	1.50354404059174
Monodelphis_domestica	0.989406455358792	2	0.289336917562724	2.8123079522838	2	0.232902279696041	1.69814197093246
Loxodonta_africana	0.989015822054118	0	0.520405116209625	3.73268753432377	0	0.550500947738966	3.4721727516048
Loxodonta_africana	0.989015822054118	1	0.201006984190182	3.44988671814748	1	0.217709179528838	3.0058408161413
Loxodonta_africana	0.989015822054118	2	0.278587899600192	3.67738683398564	2	0.231789872732196	3.62841648798317
Canis_lupus	0.983892725552178	0	0.519346631482375	2.37554074222167	0	0.555493895671476	2.18418015976376
Canis_lupus	0.983892725552178	1	0.201685441080498	2.07150189794114	1	0.2161487236404	1.71470037421985
Canis_lupus	0.983892725552178	2	0.278967927437127	2.28062528680802	2	0.228357380688124	2.1682616519186
Equus_caballus	0.984087975374839	0	0.518821712268314	2.7610853101492	0	0.553531937036555	2.14738790233862
Equus_caballus	0.984087975374839	1	0.199264489555752	2.36619758131547	1	0.215298556003643	1.92189088476949
Equus_caballus	0.984087975374839	2	0.281913798175934	2.62088861988538	2	0.231169506959802	2.02639380232922
Bos_taurus	0.982606011224867	0	0.519799244178231	2.32308331859676	0	0.554956613200105	1.62412725356849
Bos_taurus	0.982606011224867	1	0.19833599713206	1.94876035968261	1	0.216671049171707	1.2518324526953
Bos_taurus	0.982606011224867	2	0.28186475868971	2.27801605497627	2	0.228372337628188	1.66116218148894
Sus_scrofa	0.983724513378871	0	0.515864484751904	2.58360673792912	0	0.550137994480221	1.95823928484583
Sus_scrofa	0.983724513378871	1	0.198424451076049	2.16321926911049	1	0.216322775660402	1.57356578163001
Sus_scrofa	0.983724513378871	2	0.285711064172048	2.48546420634444	2	0.233539229859377	1.94446662107778
Macaca_mulatta	0.980914632939453	0	0.518342046770811	3.71597237484923	0	0.554472401528125	2.88710227918454
Macaca_mulatta	0.980914632939453	1	0.195686065804715	3.12152560139036	1	0.215518377025425	2.33578924268187
Macaca_mulatta	0.980914632939453	2	0.285971887424475	3.41807020561018	2	0.23000922144645	2.70265119529418
Homo_sapiens	0.964916823370107	0	0.526340036856021	4.39715840402213	0	0.566248636859324	3.40429985982787
Homo_sapiens	0.964916823370107	1	0.192873167214166	3.77279467947818	1	0.209787350054526	2.63498117408375
Homo_sapiens	0.964916823370107	2	0.280786795929813	4.1785396060983	2	0.22396401308615	3.11726628199077
Oryctolagus_cuniculus	0.99107396184445	0	0.503517567205133	2.756341869331	0	0.539168552036199	1.93740368610582
Oryctolagus_cuniculus	0.99107396184445	1	0.206315803951504	2.38637934866382	1	0.222285067873303	1.43306437347829
Oryctolagus_cuniculus	0.99107396184445	2	0.290166628843363	2.6779239695067	2	0.238546380090498	2.09611624347727
Heterocephalus_glaber	0.981930427480679	0	0.521683217288742	3.21883430219366	0	0.55398322851153	2.74608087774642
Heterocephalus_glaber	0.981930427480679	1	0.200479397329072	2.77872782950114	1	0.218160377358491	2.37799243531312
Heterocephalus_glaber	0.981930427480679	2	0.277837385382186	3.02518126520218	2	0.227856394129979	2.39755419226893
Rattus_norvegicus	0.985366072630965	0	0.515994030625487	2.76420441813788	0	0.55444997236042	1.85021725822117
Rattus_norvegicus	0.985366072630965	1	0.198248118349338	2.34602197368912	1	0.216970702045329	1.57831887783105
Rattus_norvegicus	0.985366072630965	2	0.285757851025175	2.55174054334315	2	0.228579325594251	1.71639874682001
Mus_musculus	0.975798331920633	0	0.52318685152404	2.88630957199255	0	0.565353686792967	1.94346094525078
Mus_musculus	0.975798331920633	1	0.194649386895456	2.40578845296982	1	0.209077279542047	1.55732224983321
Mus_musculus	0.975798331920633	2	0.282163761580505	2.70147356827286	2	0.225569033664986	1.59863230602973
Acyrthosiphon_pisum	0.993033623429773	0	0.525363258951738	1.70857093349654	0	0.566217976552323	1.00321302584387
Acyrthosiphon_pisum	0.993033623429773	1	0.198443175921121	1.52270685719534	1	0.214719930525402	0.992660915519369
Acyrthosiphon_pisum	0.993033623429773	2	0.276193565127141	1.6477480003473	2	0.219062092922275	1.09272241551768
Cimex_lectularius	0.989437771140808	0	0.526930187991741	2.45472551976782	0	0.563696114440363	1.65158581908708
Cimex_lectularius	0.989437771140808	1	0.206804410315929	1.87011301717161	1	0.214768992847477	1.39477401140049
