#species: Scientific name.
#average_mira: Average abundance relative to the major isoform by 5% bins.
#framepreserving_proportion: Proportion of frame-preserving spliced variants.
#XerrorBar: Standard deviation on x axis.
#intervalle: Intervalle of the abundance relative to the major isoform.
#Freq: Number of spliced variants by bins.
species	average_mira	framepreserving_proportion	XerrorBar	intervalle	Freq
Crocodylus_porosus	0.0036776817361129	0.346120313862249	0.000007079352334101	(0.00327,0.00411]	1147
Crocodylus_porosus	0.00468186158390428	0.331885317115552	0.0000101025877795236	(0.00411,0.00531]	1151
Crocodylus_porosus	0.00609329698329048	0.328695652173913	0.0000149535015524719	(0.00531,0.00702]	1150
Crocodylus_porosus	0.00831954541409559	0.369565217391304	0.0000246158420430638	(0.00702,0.00985]	1150
Crocodylus_porosus	0.0119931831243907	0.358506944444444	0.0000389824002741151	(0.00985,0.0145]	1152
Crocodylus_porosus	0.0183846280922948	0.354221061792863	0.0000754444429735781	(0.0145,0.0235]	1149
Crocodylus_porosus	0.0322707446309948	0.38488271068636	0.000174296209574893	(0.0235,0.044]	1151
Crocodylus_porosus	0.071743320873083	0.481320590790617	0.000603461725362827	(0.044,0.117]	1151
Crocodylus_porosus	0.252340463530871	0.784535186794092	0.00311594560526541	(0.117,0.497]	1151
Monodelphis_domestica	0.0000152208320605403	0.386745796241345	0.000000152580603208648	[1.92e-07,2.97e-05]	3033
Monodelphis_domestica	0.0000428886703310231	0.391490765171504	0.00000013559141215999	(2.97e-05,5.54e-05]	3032
Monodelphis_domestica	0.0000677828546201353	0.387203166226913	0.000000130652063318122	(5.54e-05,8.07e-05]	3032
Monodelphis_domestica	0.0000943933983375347	0.373557533794923	0.000000145914493887442	(8.07e-05,0.000109]	3033
Monodelphis_domestica	0.000123591489393245	0.369722955145119	0.000000163963652210929	(0.000109,0.00014]	3032
Monodelphis_domestica	0.00015810969046661	0.380936675461741	0.000000195624713077903	(0.00014,0.000177]	3032
Monodelphis_domestica	0.000198184987473157	0.367622815694032	0.000000231613176411365	(0.000177,0.000221]	3033
Monodelphis_domestica	0.000248842974879878	0.364535266974291	0.000000296623488237898	(0.000221,0.000278]	3034
Monodelphis_domestica	0.000313264145490836	0.358720738542697	0.000000371210448211922	(0.000278,0.00035]	3033
Monodelphis_domestica	0.000395253731791788	0.377763114483669	0.00000049879879759115	(0.00035,0.000444]	3031
Monodelphis_domestica	0.000501467115167949	0.345544554455446	0.000000627077015451843	(0.000444,0.000564]	3030
Monodelphis_domestica	0.000644023215813158	0.346952224052718	0.00000089827598627347	(0.000564,0.000736]	3035
Monodelphis_domestica	0.000850885278204872	0.336630398944939	0.00000126798268153332	(0.000736,0.000978]	3033
Monodelphis_domestica	0.00114499679062909	0.345088991430455	0.00000184286601086133	(0.000978,0.00133]	3034
Monodelphis_domestica	0.00160683823701138	0.330360092500826	0.00000307634261777578	(0.00133,0.00193]	3027
Monodelphis_domestica	0.00238500192670362	0.343441001977587	0.00000536131104741835	(0.00193,0.00295]	3034
Monodelphis_domestica	0.00385966511936702	0.328604420983174	0.0000108131912420168	(0.00295,0.00505]	3031
Monodelphis_domestica	0.00721613115132073	0.325857519788918	0.0000272422360139073	(0.00505,0.0103]	3032
Monodelphis_domestica	0.0184049961013644	0.369722955145119	0.000122093503495541	(0.0103,0.0353]	3032
Monodelphis_domestica	0.151533647574905	0.651829871414441	0.00222971986406517	(0.0353,0.5]	3033
Loxodonta_africana	0.0000338675443420864	0.357581483230987	0.000000357567756666187	[6.11e-07,6.1e-05]	2117
Loxodonta_africana	0.0000871203236739625	0.364839319470699	0.000000330017142894616	(6.1e-05,0.000113]	2116
Loxodonta_africana	0.000139684806357712	0.357750472589792	0.000000337080036237521	(0.000113,0.000167]	2116
Loxodonta_africana	0.00019637432573385	0.335066162570888	0.000000380307579150007	(0.000167,0.000228]	2116
Loxodonta_africana	0.000264524575206093	0.353802550779405	0.000000476481551294855	(0.000228,0.000303]	2117
Loxodonta_africana	0.000344491655384068	0.346717052432688	0.000000525922787210099	(0.000303,0.000388]	2117
Loxodonta_africana	0.000439730858998769	0.359035004730369	0.000000669555018894888	(0.000388,0.000496]	2114
Loxodonta_africana	0.000564223269227955	0.355828220858896	0.000000884960536072305	(0.000496,0.000636]	2119
Loxodonta_africana	0.000718872706499135	0.337908187411264	0.00000108775991900768	(0.000636,0.000812]	2113
Loxodonta_africana	0.000921429781984889	0.340576287198866	0.00000140684016074336	(0.000812,0.00104]	2117
Loxodonta_africana	0.00117895264906559	0.330656589513462	0.00000184881491838462	(0.00104,0.00133]	2117
Loxodonta_africana	0.00152095172297336	0.312854442344045	0.00000253184892058471	(0.00133,0.00174]	2116
Loxodonta_africana	0.00201100225479499	0.321985815602837	0.00000361322567939068	(0.00174,0.00232]	2115
Loxodonta_africana	0.0027318362712111	0.3265595463138	0.00000557096909041147	(0.00232,0.00322]	2116
Loxodonta_africana	0.00385469381619612	0.325614366729679	0.00000841175374313389	(0.00322,0.00459]	2116
Loxodonta_africana	0.00568993708665628	0.319943289224953	0.0000153361903169943	(0.00459,0.00704]	2116
Loxodonta_africana	0.00890793478448693	0.315689981096408	0.0000264332728488774	(0.00704,0.0113]	2116
Loxodonta_africana	0.0158904308612626	0.324196597353497	0.0000684165753704384	(0.0113,0.0224]	2116
Loxodonta_africana	0.0370152828998822	0.380907372400756	0.000234611646424356	(0.0224,0.0607]	2116
Loxodonta_africana	0.182021859931674	0.637694851204535	0.00247039539299816	(0.0607,0.498]	2117
Canis_lupus	0.000139036480820095	0.356993736951983	0.00000533992284572473	[4.24e-06,0.000376]	479
Canis_lupus	0.000616511233920677	0.32776617954071	0.00000648542790011154	(0.000376,0.000855]	479
Canis_lupus	0.00109983861759557	0.345188284518828	0.00000676993015878606	(0.000855,0.00136]	478
Canis_lupus	0.00163987687898777	0.319502074688797	0.00000766522210444895	(0.00136,0.00192]	482
Canis_lupus	0.00229949762834506	0.334728033472803	0.00000969959766628923	(0.00192,0.00267]	478
Canis_lupus	0.00309422219417061	0.321428571428571	0.0000114951109609048	(0.00267,0.00356]	476
Canis_lupus	0.00400590515097329	0.338204592901879	0.000013094359832447	(0.00356,0.00455]	479
Canis_lupus	0.00516428829789099	0.329218106995885	0.0000172138845435143	(0.00455,0.00585]	486
Canis_lupus	0.00662309418753703	0.317894736842105	0.000021457510946909	(0.00585,0.00746]	475
Canis_lupus	0.00843843998909147	0.303157894736842	0.0000256390664741757	(0.00746,0.00948]	475
Canis_lupus	0.0107982202802339	0.287474332648871	0.0000362452737558286	(0.00948,0.0122]	487
Canis_lupus	0.0139397564216806	0.326359832635983	0.0000482833843059555	(0.0122,0.0159]	478
Canis_lupus	0.0185360608397885	0.35031847133758	0.0000689168439944058	(0.0159,0.0212]	471
Canis_lupus	0.0247498889457995	0.351515151515152	0.0000982535190190904	(0.0212,0.0286]	495
Canis_lupus	0.0335699052802119	0.369918699186992	0.000133051652956745	(0.0286,0.0385]	492
Canis_lupus	0.0463127688766242	0.360178970917226	0.000215466459421108	(0.0385,0.0542]	447
Canis_lupus	0.0661877494381939	0.416149068322981	0.000334446389378913	(0.0542,0.0792]	483
Canis_lupus	0.101152118939912	0.55672268907563	0.000647173179244629	(0.0792,0.128]	476
Canis_lupus	0.175980948692789	0.649895178197065	0.00150465895854567	(0.128,0.245]	477
Canis_lupus	0.354893017987336	0.84133611691023	0.00323459242573928	(0.245,0.494]	479
Equus_caballus	0.000116726300440674	0.392089423903697	0.00000206248966154897	[1.63e-06,0.00024]	1163
Equus_caballus	0.000356921223631496	0.380378657487091	0.00000202361449735219	(0.00024,0.000479]	1162
Equus_caballus	0.000606210117028898	0.349957007738607	0.00000214271571401897	(0.000479,0.000729]	1163
Equus_caballus	0.000864982407050005	0.363714531384351	0.00000229987223772058	(0.000729,0.001]	1163
Equus_caballus	0.00115258355888256	0.347413793103448	0.00000262180583537823	(0.001,0.00131]	1160
